filename,year,variable,values,num_missing,num_total,prop_missing
Berkeley_11062018_CityCouncilDistrict1.csv,2018,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,"[ 522.         1933.          562.          520.44230198  300.
  822.          483.          686.          492.          689.
  639.          595.        ]",1,12,0.08333333333333333
Berkeley_11062018_CityCouncilDistrict1.csv,2018,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,"[ 267.         1249.          363.          270.50794519  113.
  397.          256.          306.          204.          153.
  314.          214.        ]",1,12,0.08333333333333333
NewYorkCity_06222021_DEMCouncilMember1stCouncilDistrict.csv,2021,Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),"[180515. 250001. 119293.  46860.  74485.  35700. 134583.  90222. 190769.
 250001.  55714. 190588.  97133. 158393. 148750. 141731. 190408. 236250.
 118698. 120964. 173615. 246250. 145417. 160466. 144464. 138854. 109352.
 100096. 250001.  46615. 166250. 172687.  68382.  21949.  28607. 250001.
  45582.  34710.  25655. 184730. 222167.  91154. 199576.  89873. 165188.
 193158. 233346.     nan  11406.]",1,49,0.02040816326530612
Oakland_11062012_CityCouncilDistrict1.csv,2012,Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),"[215293. 222177. 255641. 171353. 235045. 106694.  84197. 262437.  56498.
  58249.  76879.  82269. 112499.  76368.  55809. 191721.  81220.  74836.
 346328.  72161.  81146.  58692. 194525. 126104. 101665.  72831.  40094.
 162416. 236086.  54787.  77173. 224828. 168363. 115715.  98485. 100091.
  84947.  62031.  59902.     nan]",1,40,0.025
Oakland_11062012_CityCouncilDistrict1.csv,2012,Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),"[168681. 171705. 154934. 125250. 176406.  89347.  57482. 172500.  42292.
  37454.  62617.  73837.  54750.  55379.  36782. 150391.  57333.  57639.
 224531.  59018.  72059.  41023. 134531.  71618.  68403.  56401.  30023.
 126278. 188241.  38403.  60089. 165625. 135318.  98824.  76897.  74554.
  56833.  40431.  32500.     nan]",1,40,0.025
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT1.csv,2020,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,"[ 7.   5.   4.2  1.7 10.5  nan  3.2  4.4  4.2  2.7  2.6  4.9  5.8 10.4
  4.8  9.9  5.7  2.3  5.4  1.3  2.5  6.1  2.2  3.7  2.8  1.2  6.7  5.6
 15.7  7.5 10.7]",1,31,0.03225806451612903
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT1.csv,2020,Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),"[198136. 170306. 201335. 200748. 119700.     nan 166645. 141781. 202830.
 197394. 155666. 172899. 196530. 169979. 195929. 166344. 221848. 250406.
 142229. 475949. 230206. 165333. 239589. 191820. 315695. 302400. 151633.
 171578. 156633. 187931. 190998.]",1,31,0.03225806451612903
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT1.csv,2020,Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),"[154609. 124324. 155750. 163178.     nan     nan 114892. 100701. 177159.
 190389.  99028. 145903. 125682. 125658. 145147. 132277. 136429. 184617.
 104414. 250001. 169563. 126944. 139659. 148542. 231313. 209803.  84880.
 147768.  98580. 154375. 133925.]",2,31,0.06451612903225806
SanFrancisco_11042008_BoardofSupervisorsDistrict1.csv,2008,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,"[  20.60153613  182.52961013 2377.635      3684.37872182 1688.955
 1849.859      1922.952      2618.352      1976.832      1339.84
 2476.668      3129.37333843 2423.435      1945.601      1324.674
 1465.737      2797.33       1536.974      2738.45       3643.17564956
 2569.396      2895.984      1808.8        3152.03502818 2700.184
 2761.5        2823.413      1134.483      3353.216     ]",6,29,0.20689655172413793
SanFrancisco_11042008_BoardofSupervisorsDistrict1.csv,2008,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,"[ nan  nan  8.5  nan  4.5  6.3  4.4  6.6  6.5  3.2  5.6  nan  2.9  7.2
 10.2  7.8  4.1  5.8  4.7  nan  4.   5.2  3.7  nan  5.3  7.3  5.5  4.5
  5.9]",6,29,0.20689655172413793
SanFrancisco_11042008_BoardofSupervisorsDistrict1.csv,2008,Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),"[    nan     nan  78643.     nan  86894.  88158.  65682.  61781.  73750.
 154063.  78059.     nan  69564.  56812.  62350.  61647.  90114.  66958.
  85446.     nan  83077.  92000.  69267.     nan  76597.  84125.  90035.
  75236.  82313.]",6,29,0.20689655172413793
SanFrancisco_11042008_BoardofSupervisorsDistrict1.csv,2008,Estimate!!INDUSTRY!!Civilian employed population 16 years and over,"[  28.71991058  254.45840778 3833.         5136.26880886 2137.
 2353.         3000.         3355.         2692.         1011.
 3654.         4362.55441773 3077.         2550.         2547.
 2265.         4256.         2716.         3762.         5078.82898769
 2860.         3024.         2282.         4394.14631937 3700.
 3209.         4183.         1889.         3309.        ]",6,29,0.20689655172413793
SanFrancisco_11082016_BoardofSupervisorsDistrict1.csv,2016,Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),"[132750. 116923.  95000. 125651. 164250.     nan  91250. 108525. 128375.
  84805.  96932. 116128.  99750.  98958.  94688. 103676.  98864. 116429.
 164750.  76118. 105507.  94589. 102652.  86848. 121156.  82593. 115457.]",1,27,0.037037037037037035
SanLeandro_11062018_CountyCouncilDistrict1.csv,2018,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,"[ 319.         1222.          346.          937.         1311.
 2323.          907.          529.         1754.92589082  689.        ]",1,10,0.1
SanLeandro_11062018_CountyCouncilDistrict1.csv,2018,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,"[ 88.         505.          77.         217.         800.
 898.         247.         156.         603.31145678 177.        ]",1,10,0.1
Alaska_11082022_HouseDistrict1.csv,2022,Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),"[125226.  90574. 123006.  80656.  96770. 107044.  92575.     nan  85982.
  68505.]",1,10,0.1
Alaska_11082022_HouseDistrict1.csv,2022,Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),"[101736.  58125. 103158.  61000.  77826.  83690.  59255.     nan  78365.
  54963.]",1,10,0.1
