Name,Label,Concept,Required,Attributes,Limit,Predicate Type,Group
DP02_0001E,Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0001EA,
                DP02_0001M,
                DP02_0001MA",0,(not a predicate),DP02
DP02_0002E,Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families),Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0002EA,
                DP02_0002M,
                DP02_0002MA",0,int,DP02
DP02_0003E,Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children under 18 years,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0003EA,
                DP02_0003M,
                DP02_0003MA",0,int,DP02
DP02_0004E,Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0004EA,
                DP02_0004M,
                DP02_0004MA",0,int,DP02
DP02_0005E,Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family!!With own children under 18 years,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0005EA,
                DP02_0005M,
                DP02_0005MA",0,int,DP02
DP02_0006E,"Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no wife present, family",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0006EA,
                DP02_0006M,
                DP02_0006MA",0,int,DP02
DP02_0007E,"Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no wife present, family!!With own children under 18 years",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0007EA,
                DP02_0007M,
                DP02_0007MA",0,int,DP02
DP02_0008E,"Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no husband present, family",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0008EA,
                DP02_0008M,
                DP02_0008MA",0,int,DP02
DP02_0009E,"Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no husband present, family!!With own children under 18 years",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0009EA,
                DP02_0009M,
                DP02_0009MA",0,int,DP02
DP02_0010E,Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0010EA,
                DP02_0010M,
                DP02_0010MA",0,int,DP02
DP02_0011E,Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0011EA,
                DP02_0011M,
                DP02_0011MA",0,int,DP02
DP02_0012E,Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0012EA,
                DP02_0012M,
                DP02_0012MA",0,int,DP02
DP02_0013E,Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0013EA,
                DP02_0013M,
                DP02_0013MA",0,int,DP02
DP02_0014E,Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0014EA,
                DP02_0014M,
                DP02_0014MA",0,int,DP02
DP02_0015E,Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0015EA,
                DP02_0015M,
                DP02_0015MA",0,float,DP02
DP02_0016E,Number!!Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0016EA,
                DP02_0016M,
                DP02_0016MA",0,float,DP02
DP02_0017E,Number!!Estimate!!RELATIONSHIP!!Population in households,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0017EA,
                DP02_0017M,
                DP02_0017MA",0,int,DP02
DP02_0018E,Number!!Estimate!!RELATIONSHIP!!Population in households!!Householder,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0018EA,
                DP02_0018M,
                DP02_0018MA",0,int,DP02
DP02_0019E,Number!!Estimate!!RELATIONSHIP!!Population in households!!Spouse,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0019EA,
                DP02_0019M,
                DP02_0019MA",0,int,DP02
DP02_0020E,Number!!Estimate!!RELATIONSHIP!!Population in households!!Child,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0020EA,
                DP02_0020M,
                DP02_0020MA",0,int,DP02
DP02_0021E,Number!!Estimate!!RELATIONSHIP!!Population in households!!Other relatives,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0021EA,
                DP02_0021M,
                DP02_0021MA",0,int,DP02
DP02_0022E,Number!!Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0022EA,
                DP02_0022M,
                DP02_0022MA",0,int,DP02
DP02_0023E,Number!!Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0023EA,
                DP02_0023M,
                DP02_0023MA",0,int,DP02
DP02_0024E,Number!!Estimate!!MARITAL STATUS!!Males 15 years and over,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0024EA,
                DP02_0024M,
                DP02_0024MA",0,int,DP02
DP02_0025E,Number!!Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0025EA,
                DP02_0025M,
                DP02_0025MA",0,int,DP02
DP02_0026E,"Number!!Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0026EA,
                DP02_0026M,
                DP02_0026MA",0,int,DP02
DP02_0027E,Number!!Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0027EA,
                DP02_0027M,
                DP02_0027MA",0,int,DP02
DP02_0028E,Number!!Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0028EA,
                DP02_0028M,
                DP02_0028MA",0,int,DP02
DP02_0029E,Number!!Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0029EA,
                DP02_0029M,
                DP02_0029MA",0,int,DP02
DP02_0030E,Number!!Estimate!!MARITAL STATUS!!Females 15 years and over,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0030EA,
                DP02_0030M,
                DP02_0030MA",0,int,DP02
DP02_0031E,Number!!Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0031EA,
                DP02_0031M,
                DP02_0031MA",0,int,DP02
DP02_0032E,"Number!!Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0032EA,
                DP02_0032M,
                DP02_0032MA",0,int,DP02
DP02_0033E,Number!!Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0033EA,
                DP02_0033M,
                DP02_0033MA",0,int,DP02
DP02_0034E,Number!!Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0034EA,
                DP02_0034M,
                DP02_0034MA",0,int,DP02
DP02_0035E,Number!!Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0035EA,
                DP02_0035M,
                DP02_0035MA",0,int,DP02
DP02_0036E,Number!!Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0036EA,
                DP02_0036M,
                DP02_0036MA",0,int,DP02
DP02_0037E,"Number!!Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0037EA,
                DP02_0037M,
                DP02_0037MA",0,int,DP02
DP02_0038E,"Number!!Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0038EA,
                DP02_0038M,
                DP02_0038MA",0,int,DP02
DP02_0039E,"Number!!Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0039EA,
                DP02_0039M,
                DP02_0039MA",0,int,DP02
DP02_0040E,"Number!!Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0040EA,
                DP02_0040M,
                DP02_0040MA",0,int,DP02
DP02_0041E,"Number!!Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0041EA,
                DP02_0041M,
                DP02_0041MA",0,int,DP02
DP02_0042E,"Number!!Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0042EA,
                DP02_0042M,
                DP02_0042MA",0,int,DP02
DP02_0043E,Number!!Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0043EA,
                DP02_0043M,
                DP02_0043MA",0,int,DP02
DP02_0044E,Number!!Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Responsible for grandchildren,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0044EA,
                DP02_0044M,
                DP02_0044MA",0,int,DP02
DP02_0045E,Number!!Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0045EA,
                DP02_0045M,
                DP02_0045MA",0,int,DP02
DP02_0046E,Number!!Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0046EA,
                DP02_0046M,
                DP02_0046MA",0,int,DP02
DP02_0047E,Number!!Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0047EA,
                DP02_0047M,
                DP02_0047MA",0,int,DP02
DP02_0048E,Number!!Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,Selected Social Characteristics in the United States: 2005-2009,not required,"DP02_0048EA,
                DP02_0048M,
                DP02_0048MA",0,int,DP02
