the_geom,OBJECTID,FIPSSTCO,TRT2000,STFID,TRACTID,STATE,COUNTY,TRACT,POP2000,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,URBAN,RURAL,VACANT,OWNER_OCC,RENTER_OCC
"MULTIPOLYGON (((-122.41134870232011 37.710604604710696, -122.41196808070436 37.709210428390676, -122.41223281810134 37.708614511209646, -122.4123603094257 37.70832847086355, -122.41334053302877 37.708328693985585, -122.41359467003522 37.708329029265194, -122.41422050515864 37.70832950467186, -122.41437437171813 37.70832975077388, -122.41523357495548 37.70832952156672, -122.41533038279788 37.7083293185835, -122.41622413067466 37.70832817151604, -122.41709368569708 37.70832706424421, -122.417207778266 37.7083269258607, -122.41804798554011 37.70832698396636, -122.41816554463412 37.708327473015736, -122.4190179125214 37.70833041619263, -122.41911992404334 37.70833114909601, -122.41923750457893 37.70833163672642, -122.41970426588526 37.70833159516607, -122.41971910310778 37.70833162472813, -122.4200742471716 37.708332420553056, -122.42003477480665 37.70842021394875, -122.41934834807266 37.70994675981712, -122.41850374811132 37.709709512370765, -122.4176521959098 37.70947032127203, -122.41738987738972 37.71009127742529, -122.41688151031063 37.709954302511065, -122.41664766508795 37.71047316859657, -122.41600019329333 37.71191451975746, -122.4150806725645 37.71165512230066, -122.41288811722114 37.71103628964695, -122.41228037878936 37.71086623466464, -122.41134870232011 37.710604604710696)))",200,06075,026404,06075026404,264.04,06,075,026404,2287,213,554,14,902,75,445,84,632,1145,1142,165,450,176,304,357,318,299,218,31.7,29.5,33.6,507,4.49,20,27,134,125,11,67,446,4.48,521,0,0,14,340,167
"MULTIPOLYGON (((-122.43781181316648 37.71191994109887, -122.43791683885786 37.711770213468824, -122.43837047072542 37.711133018746196, -122.43758708687422 37.71085987607539, -122.43699284634377 37.71074570063209, -122.43697790728564 37.710636751512254, -122.43677175070708 37.710155990932925, -122.43668704507591 37.710023461155615, -122.43659688012764 37.70988039393438, -122.43617653360961 37.70940693320785, -122.43596798709684 37.70929876291139, -122.43594218108491 37.70930330504742, -122.43549798999636 37.708842935559815, -122.43530325775535 37.708667929467374, -122.43498574483195 37.70829166308434, -122.43624943412682 37.708289429383065, -122.43872842675817 37.708285389527376, -122.44049689317774 37.708282362508356, -122.44071124938307 37.70828193165852, -122.44134914298536 37.70828068883043, -122.44210633165768 37.70827953186607, -122.44467174255814 37.708274979972934, -122.44478757065926 37.70827477358241, -122.44569107630235 37.70824989618871, -122.44582418390608 37.70824942007678, -122.44722785407637 37.708245098959146, -122.44979835061143 37.70823657231028, -122.45015092647665 37.70823541549892, -122.45235502699076 37.70822821727678, -122.45432222958995 37.708222022715155, -122.45428163629691 37.70825600656286, -122.45266068538949 37.708807908425825, -122.4508837854537 37.709412835519785, -122.45049823000721 37.70954352982295, -122.45009552820791 37.709679989124915, -122.4493089776961 37.70994607542083, -122.44893025277761 37.71007388497509, -122.44837622585517 37.71037285635157, -122.44767204748626 37.710748478256406, -122.4463830420517 37.71143626528299, -122.4460914836342 37.71159217159534, -122.44552866021822 37.711886464269014, -122.44474398539236 37.71262221797197, -122.44457185023181 37.7127833510438, -122.4440971777836 37.711689307223196, -122.44368508766787 37.7112026996689, -122.44333620851253 37.71055467698048, -122.44270027667476 37.71076431712777, -122.44215692031874 37.710943941613806, -122.44165893918934 37.71107335490034, -122.4411300461247 37.71121117987312, -122.4406165983196 37.711344623950374, -122.44010831752325 37.71147730599381, -122.43958806346009 37.71161532446013, -122.43908155262575 37.71174967872059, -122.43856303782752 37.711887666979415, -122.43805823017428 37.712021292662435, -122.43781181316648 37.71191994109887)))",201,06075,026303,06075026303,263.03,06,075,026303,4529,1047,69,7,2448,41,671,246,1230,2171,2358,277,746,213,549,681,666,702,695,37,35,39,1185,3.76,55,98,349,315,19,53,958,3.99,1217,0,0,32,798,387
"MULTIPOLYGON (((-122.41573210323257 37.71251359298154, -122.41600019329333 37.71191451975746, -122.41664766508795 37.71047316859657, -122.41688151031063 37.709954302511065, -122.41738987738972 37.71009127742529, -122.4176521959098 37.70947032127203, -122.41850374811132 37.709709512370765, -122.41934834807266 37.70994675981712, -122.42003477480665 37.70842021394875, -122.4200742471716 37.708332420553056, -122.4201589742251 37.70833276215554, -122.42376373149207 37.70834192689571, -122.42336153429319 37.709234032431546, -122.42335333276367 37.70925100268463, -122.42381983058654 37.70957403871973, -122.42397121044989 37.70967836543773, -122.42455094942994 37.71010187125269, -122.42418175481167 37.710265162820605, -122.42336840698592 37.71030179439495, -122.42302632901672 37.71037743733299, -122.42281022321563 37.71051076151243, -122.42241066816666 37.71097086503872, -122.42224152055897 37.71131665837229, -122.4221222235915 37.711717600085194, -122.42196230261514 37.71201823941036, -122.42187867013362 37.71206047917203, -122.42251543516856 37.7124823796448, -122.42205523251664 37.713606532046995, -122.42201942102693 37.71369226046908, -122.42188400434732 37.71380470253471, -122.42173277046311 37.71390639246626, -122.42131999756603 37.71399038597951, -122.42109620165282 37.71396108500447, -122.41573210323257 37.71251359298154)))",202,06075,060502,06075060502,605.02,06,075,060502,3416,271,1600,22,626,400,306,191,645,1497,1919,417,954,214,437,461,374,315,244,24.3,19.6,26.6,983,3.47,34,89,162,106,34,376,841,3.66,1009,0,0,26,193,790
"MULTIPOLYGON (((-122.40245957172256 37.71217932127905, -122.40281975059617 37.712134367838, -122.4028946002163 37.71208680409207, -122.40303750673085 37.71199556378633, -122.40315643555876 37.71184701602852, -122.40320502091731 37.71178615248512, -122.4036496030669 37.711188717116855, -122.40415927673165 37.7105006123737, -122.40422608082076 37.710409212806475, -122.40425422546356 37.71036069985138, -122.40463711798495 37.709717216690066, -122.40483886153541 37.70935993408382, -122.40510776010039 37.70885667021837, -122.40534384821198 37.708354982462396, -122.40552179339758 37.70835003768912, -122.4062511794515 37.70834407566919, -122.40647586994771 37.7083421548574, -122.40659171955795 37.708342331519574, -122.40729016939054 37.708343741362704, -122.40731438206292 37.70834368823737, -122.40775344132635 37.70834207364215, -122.40811092275439 37.70832735186025, -122.40829936402498 37.7083273943417, -122.4123603094257 37.70832847086355, -122.41223281810134 37.708614511209646, -122.41196808070436 37.709210428390676, -122.41134870232011 37.710604604710696, -122.41064128133631 37.71220621423114, -122.40972882732768 37.71195215560063, -122.40882684129735 37.71170170068563, -122.40792650868414 37.711447766410636, -122.40746568389605 37.71248876220182, -122.4073478902144 37.71254733356257, -122.40705581725065 37.71322574915724, -122.40676713683368 37.71390066758758, -122.40647666643444 37.71457494607029, -122.40618954106145 37.71524435389433, -122.40552260314814 37.71505873118559, -122.40382335251749 37.71439535149324, -122.40369230473542 37.71434150900108, -122.40361761410831 37.71432760825719, -122.40350597933111 37.71435721903303, -122.40265428452207 37.71458592417038, -122.40256256424773 37.71464990750195, -122.402325536863 37.71471107747798, -122.40218774829725 37.714731490435476, -122.4023515494161 37.7145791418825, -122.40244124295619 37.714435545483795, -122.40241642823548 37.71427662164681, -122.40209592568488 37.71350818946705, -122.40209835296129 37.71299481451782, -122.40209843393569 37.712794981995586, -122.4021136156501 37.712712322761014, -122.40225840475972 37.71256028261449, -122.40247127991988 37.71243391392118, -122.40245957172256 37.71217932127905)))",203,06075,026403,06075026403,264.03,06,075,026403,4112,509,322,9,2773,39,302,158,523,2094,2018,225,662,247,524,626,605,680,543,36.6,35,37.8,1003,4.08,50,78,266,331,22,48,834,4.27,1020,0,0,17,623,380
"MULTIPOLYGON (((-122.40618954106145 37.71524435389433, -122.40647666643444 37.71457494607029, -122.40676713683368 37.71390066758758, -122.40705581725065 37.71322574915724, -122.4073478902144 37.71254733356257, -122.40746568389605 37.71248876220182, -122.40792650868414 37.711447766410636, -122.40882684129735 37.71170170068563, -122.40972882732768 37.71195215560063, -122.41064128133631 37.71220621423114, -122.41134870232011 37.710604604710696, -122.41228037878936 37.71086623466464, -122.41288811722114 37.71103628964695, -122.4150806725645 37.71165512230066, -122.41600019329333 37.71191451975746, -122.41573210323257 37.71251359298154, -122.41529082655397 37.71350416081105, -122.41512582095272 37.713877337802096, -122.41579720011123 37.71403331305083, -122.41554413272338 37.71474647956805, -122.41552347945654 37.71481719207597, -122.4154374259801 37.7151678048824, -122.41500350117235 37.71537057547848, -122.41360009486664 37.71498650357233, -122.41131578058778 37.7143670707907, -122.4110240471277 37.71505715449076, -122.41073728042315 37.71573858903724, -122.41072232822212 37.71582982912267, -122.41050501455292 37.716321616719114, -122.41043304691382 37.71641378149065, -122.41035816925593 37.716393356610915, -122.40994028986103 37.7162796100977, -122.40912369518868 37.71605695587942, -122.40831056144492 37.7158352733999, -122.40618954106145 37.71524435389433)))",204,06075,026401,06075026401,264.01,06,075,026401,3733,405,457,17,2382,55,298,119,549,1861,1872,188,675,194,440,567,540,593,536,36.4,35.5,37.6,891,4.19,44,53,263,311,12,41,760,4.35,911,0,0,20,670,221
"MULTIPOLYGON (((-122.42722118228716 37.71567229199351, -122.42735646936507 37.71495518789979, -122.4257693926405 37.714425226312144, -122.42684674254456 37.71116551778772, -122.42649034447652 37.71102164220459, -122.42557265217718 37.71070117529452, -122.42511874711757 37.71046446826222, -122.42455094942994 37.71010187125269, -122.42397121044989 37.70967836543773, -122.42381983058654 37.70957403871973, -122.42335333276367 37.70925100268463, -122.42336153429319 37.709234032431546, -122.42376373149207 37.70834192689571, -122.42387784686068 37.70834211488447, -122.4259896014773 37.70831069665159, -122.42602071529689 37.70831052682878, -122.42619698721187 37.708307644143005, -122.42717683679861 37.70829333399979, -122.42722003787748 37.70829262710538, -122.42767453836484 37.708285874018934, -122.42835444439453 37.70830496851544, -122.42910528802632 37.708326314705594, -122.42934039044462 37.70832556501996, -122.4304498344376 37.708308754441106, -122.43129492504288 37.708297646630086, -122.43234252803438 37.708295906538936, -122.43377909616527 37.70829362630091, -122.43414904902905 37.70829305067599, -122.43498574483195 37.70829166308434, -122.43530325775535 37.708667929467374, -122.43549798999636 37.708842935559815, -122.43594218108491 37.70930330504742, -122.43596798709684 37.70929876291139, -122.43617653360961 37.70940693320785, -122.43659688012764 37.70988039393438, -122.43668704507591 37.710023461155615, -122.43677175070708 37.710155990932925, -122.43697790728564 37.710636751512254, -122.43699284634377 37.71074570063209, -122.43758708687422 37.71085987607539, -122.43837047072542 37.711133018746196, -122.43791683885786 37.711770213468824, -122.43781181316648 37.71191994109887, -122.43748649637884 37.7123733921819, -122.43664233468323 37.713549916568816, -122.43617715373114 37.71420961934334, -122.43536020638389 37.713843624295805, -122.4345415060244 37.71347593673837, -122.43370643281834 37.71314319240537, -122.43363394631609 37.71328103753907, -122.43283802618535 37.71438704515976, -122.43277708596294 37.71443714964982, -122.43232415764241 37.71503826818969, -122.43115430579431 37.71659367987336, -122.43114425814767 37.71660621136903, -122.43068889780653 37.71638224100555, -122.4302926537327 37.71630358210387, -122.4293332395205 37.716110182942444, -122.42838371651833 37.71589774120218, -122.42722118228716 37.71567229199351)))",206,06075,026302,06075026302,263.02,06,075,026302,4355,1237,110,8,2101,29,562,308,1067,2107,2248,269,672,211,434,763,670,689,647,37.9,36.1,39.6,1281,3.39,76,145,327,357,20,68,955,3.8,1298,0,0,17,1028,253
"MULTIPOLYGON (((-122.43277708596294 37.71443714964982, -122.43283802618535 37.71438704515976, -122.43363394631609 37.71328103753907, -122.43370643281834 37.71314319240537, -122.4345415060244 37.71347593673837, -122.43536020638389 37.713843624295805, -122.43617715373114 37.71420961934334, -122.43664233468323 37.713549916568816, -122.43748649637884 37.7123733921819, -122.43781181316648 37.71191994109887, -122.43805823017428 37.712021292662435, -122.43856303782752 37.711887666979415, -122.43908155262575 37.71174967872059, -122.43958806346009 37.71161532446013, -122.44010831752325 37.71147730599381, -122.4406165983196 37.711344623950374, -122.4411300461247 37.71121117987312, -122.44165893918934 37.71107335490034, -122.44215692031874 37.710943941613806, -122.44270027667476 37.71076431712777, -122.44333620851253 37.71055467698048, -122.44368508766787 37.7112026996689, -122.4440971777836 37.711689307223196, -122.44457185023181 37.7127833510438, -122.44395247498487 37.71336220402954, -122.44370604434442 37.71359151546236, -122.44334486730895 37.71392813548499, -122.4426613395121 37.714567098992156, -122.44256524674978 37.71466070467906, -122.44189578285041 37.71530835252586, -122.44179866074596 37.71542979239806, -122.44169173620672 37.71557268021268, -122.44155469433984 37.71575348284651, -122.44101986148611 37.71645967837736, -122.44041791395668 37.71724458602256, -122.43964104162491 37.71695864718071, -122.43875766011648 37.716632224174916, -122.43790057462736 37.71631944869264, -122.43704525897161 37.71600799799019, -122.43619505537863 37.71569302126085, -122.43534487892606 37.71537908299329, -122.43449124621051 37.715065191335434, -122.43363935852625 37.714751953883756, -122.43277708596294 37.71443714964982)))",207,06075,026301,06075026301,263.01,06,075,026301,4410,1052,44,32,2576,10,547,149,1150,2199,2211,249,665,228,525,715,692,708,628,37.3,35.9,38.8,1118,3.93,79,93,324,299,20,46,875,4.22,1153,0,0,35,797,321
